#total reads: 420
#use mean_cov to adjust the contig abundance, not median_cov 
#seqid	mean_cov	median_cov	total_pos	covered_pos	covered_ratio
metagenome_recA_contig_15790_contig_15791	1.295	1.000	559	559	1.000
metagenome_recA_contig_4450_contig_4451	1.426	1.000	523	523	1.000
metagenome_recA_contig_39848_contig_39849	4.993	4.500	937	937	1.000
metagenome_recA_contig_10524_contig_10525	1.287	1.000	499	499	1.000
metagenome_recA_contig_2140_contig_2141	0.622	0.600	817	817	1.000
metagenome_recA_contig_3798_contig_3799	2.038	2.000	919	919	1.000
metagenome_recA_contig_6828_contig_6829	0.782	0.500	937	937	1.000
metagenome_recA_contig_478_contig_479	0.973	1.000	871	871	1.000
metagenome_recA_contig_13960_contig_13961	1.013	1.000	586	586	1.000
metagenome_recA_contig_3736_contig_3737	1.511	1.500	499	499	1.000
metagenome_recA_contig_15994_contig_15995	2.508	3.000	415	415	1.000
metagenome_recA_contig_2148_contig_2149	1.237	1.000	565	565	1.000
metagenome_recA_contig_36896_contig_36897	2.102	2.000	964	964	1.000
metagenome_recA_contig_13162_contig_13163	1.042	1.000	454	454	1.000
metagenome_recA_contig_408_contig_409	2.533	2.000	553	553	1.000
metagenome_recA_contig_7050_contig_7051	1.942	1.500	670	670	1.000
metagenome_recA_contig_16532_contig_16533	1.013	1.000	463	463	1.000
metagenome_recA_contig_3542_contig_3543	1.149	1.000	409	409	1.000
metagenome_recA_contig_25860_contig_25861	2.596	2.667	901	901	1.000
metagenome_recA_contig_5102_contig_5103	1.490	1.000	526	526	1.000
metagenome_recA_contig_22766_contig_22767	1.023	1.000	430	430	1.000
metagenome_recA_contig_334_contig_335	1.964	2.000	928	928	1.000
metagenome_recA_contig_950_contig_951	1.037	1.000	460	460	1.000
metagenome_recA_contig_14184_contig_14185	0.599	0.333	628	628	1.000
metagenome_recA_contig_6768_contig_6769	4.055	3.500	937	937	1.000
metagenome_recA_contig_21960_contig_21961	1.426	1.000	427	427	1.000
metagenome_recA_contig_966_contig_967	0.538	0.400	850	850	1.000
metagenome_recA_contig_13992_contig_13993	0.700	0.600	661	661	1.000
metagenome_recA_contig_3418_contig_3419	3.016	3.000	793	793	1.000
metagenome_recA_contig_358_contig_359	0.977	0.500	754	754	1.000
metagenome_recA_contig_1032_contig_1033	1.247	1.000	964	964	1.000
metagenome_recA_contig_19148_contig_19149	1.067	1.000	436	436	1.000
metagenome_recA_contig_14190_contig_14191	1.571	1.000	526	526	1.000
metagenome_recA_contig_18074_contig_18075	1.470	1.000	445	445	1.000
metagenome_recA_contig_3372_contig_3373	2.616	3.000	580	580	1.000
metagenome_recA_contig_9934_contig_9935	1.491	1.000	493	493	1.000
metagenome_recA_contig_4548_contig_4549	0.951	1.000	628	628	1.000
metagenome_recA_contig_1060_contig_1061	3.041	2.500	934	934	1.000
metagenome_recA_contig_3370_contig_3371	1.696	2.000	481	481	1.000
metagenome_recA_contig_14346_contig_14347	0.884	0.333	532	532	1.000
metagenome_recA_contig_8258_contig_8259	1.905	1.000	739	739	1.000
metagenome_recA_contig_342_contig_343	1.009	0.500	754	754	1.000
metagenome_recA_contig_4592_contig_4593	1.502	2.000	412	412	1.000
metagenome_recA_contig_4060_contig_4061	2.258	2.000	616	616	1.000
metagenome_recA_contig_3018_contig_3019	1.078	1.000	637	637	1.000
metagenome_recA_contig_370_contig_371	0.577	0.500	937	937	1.000
metagenome_recA_contig_15250_contig_15251	0.763	0.600	445	445	1.000
metagenome_recA_contig_12990_contig_12991	0.674	0.600	445	445	1.000
metagenome_recA_contig_1948_contig_1949	0.694	0.667	805	805	1.000
metagenome_recA_contig_406_contig_407	2.511	2.000	898	898	1.000
